,0
934,MCFI MP Equity
935,HWN SJ Equity
936,PBL MP Equity
937,SAH MC Equity
938,1051237D CT Equity
939,KNRE KN Equity
940,SUN MP Equity
941,SBBCMOL Index
942,MNHD EY Equity
943,LLR BG Equity
944,OCS NW Equity
945,CCH SJ Equity
946,SCHB BG Equity
947,LTA SJ Equity
948,CYD SJ Equity
949,SPAFRUP Index
950,ASR SJ Equity
951,CBS SJ Equity
952,DAWN ZH Equity
953,PGIN ZH Equity
954,FBR SJ Equity
955,TBS SJ Equity
956,JNC SJ Equity
957,ACGC EC Equity
958,AUSTIN NL Equity
959,AST TU Equity
960,KIO SJ Equity
961,MSA MC Equity
962,WES SJ Equity
963,CMA SJ Equity
964,ASL MP Equity
965,UBA NL Equity
966,WGR SJ Equity
967,BCC NL Equity
968,GTHE EC Equity
969,WILD ZH Equity
970,IFH SJ Equity
971,PPC ZH Equity
972,CIL SJ Equity
973,CCNN NL Equity
974,RCO SJ Equity
975,GUARANTY NL Equity
976,ETRAN NL Equity
977,ABCH BG Equity
978,BAU SJ Equity
979,ZED SJ Equity
980,SIR SJ Equity
981,PAMODZI ZL Equity
982,KIR SJ Equity
983,REM SJ Equity
984,GIJ SJ Equity
985,PIOH EC Equity
986,SVN SJ Equity
987,CBZ ZH Equity
988,STCL KN Equity
989,IVN CT Equity
990,TMGH EC Equity
991,RBP SJ Equity
992,BTFH EC Equity
993,SSK SJ Equity
994,SNM NW Equity
995,PEAR ZH Equity
996,SOKNA TU Equity
997,ECOBANK NL Equity
998,TLNET TU Equity
999,SBO SJ Equity
1000,KNAL KN Equity
1001,BOCK KN Equity
1002,FIRSTALU NL Equity
1003,ABPLAST NL Equity
1004,CRS SJ Equity
1005,CPB SJ Equity
1006,TLS TU Equity
1007,AIA SJ Equity
1008,NEX MC Equity
1009,HVN SJ Equity
1010,SIPHA TU Equity
1011,HLH SJ Equity
1012,MVS SJ Equity
1013,NTS ZH Equity
1014,EFID EC Equity
1015,BAL MC Equity
1016,PIV SJ Equity
1017,IPWA NL Equity
1018,GNK SJ Equity
1019,SPS SJ Equity
1020,VONO NL Equity
1021,PLTU TU Equity
1022,ADR SJ Equity
1023,NIB SJ Equity
1024,OMN SJ Equity
1025,GBL SJ Equity
1026,AVS SJ Equity
1027,UCS SJ Equity
1028,MCBG MP Equity
1029,TTO SJ Equity
1030,AUTO EC Equity
1031,PDL LN Equity
1032,LAF SJ Equity
1033,SALIM TU Equity
1034,FBR MC Equity
1035,API NW Equity
1036,BLVN LN Equity
1037,STT SJ Equity
1038,EPP SJ Equity
1039,VLE SJ Equity
1040,ELSH EC Equity
1041,HYP SJ Equity
1042,ABC ZH Equity
1043,WIFAK TU Equity
1044,CAIR ZH Equity
1045,KAT CT Equity
1046,FAM SJ Equity
1047,APG SJ Equity
1048,CLI SJ Equity
1049,ECS SJ Equity
1050,NIV SJ Equity
1051,CPX SJ Equity
1052,NTL SJ Equity
1053,CHOPPIES BG Equity
1054,JMH SJ Equity
1055,VKE SJ Equity
1056,BATK KN Equity
1057,ZENITHBA NL Equity
1058,UNIVINSU NL Equity
1059,SFN SJ Equity
1060,TCL KN Equity
1061,VTR SJ Equity
1062,DON SJ Equity
1063,EQD MC Equity
1064,ARO SJ Equity
1065,CSR MC Equity
1066,LAFARGE ZH Equity
1067,LAR SJ Equity
1068,TRANSCOH NL Equity
1069,TGL CN Equity
1070,RGL SJ Equity
1071,CAT SJ Equity
1072,CND SJ Equity
1073,CGN SJ Equity
1074,MDIT MP Equity
1075,BAT ZH Equity
1076,MOSENEW Index
1077,INTER ZH Equity
1078,GDA SJ Equity
1079,MORISON NL Equity
1080,SCE MC Equity
1081,GOLD UW Equity
1082,MCNICHOL NL Equity
1083,ATT SJ Equity
1084,THOMASWY NL Equity
1085,CMT SJ Equity
1086,STEQ TU Equity
1087,AMIA EC Equity
1088,ADI MC Equity
1089,MST SJ Equity
1090,SUI SJ Equity
1091,TURN ZH Equity
1092,UDL MP Equity
1093,PPR SJ Equity
1094,VMK SJ Equity
1095,CAP NL Equity
1096,SMC SJ Equity
1097,LISY ZH Equity
1098,AXA SJ Equity
1099,EMFD EC Equity
1100,OLM NW Equity
1101,MIM NW Equity
1102,MDN SJ Equity
1103,TRT SJ Equity
1104,CVH SJ Equity
1105,PRU AU Equity
1106,ACCESS NL Equity
1107,GMF SJ Equity
1108,TLF SJ Equity
1109,AMOC EC Equity
1110,RPL SJ Equity
1111,MASIMBA ZH Equity
1112,CRW SJ Equity
1113,CLR SJ Equity
1114,PUMA ZL Equity
1115,NB NL Equity
1116,AOULA MC Equity
1117,DRI MC Equity
1118,ORE SJ Equity
1119,ELWA EC Equity
1120,TURNSTAR BG Equity
1121,MIX SJ Equity
1122,PHDC EC Equity
1123,UNHOMES NL Equity
1124,NAI SJ Equity
1125,CFR SJ Equity
1126,JDG SJ Equity
1127,CNX SJ Equity
1128,SCEM EC Equity
1129,HSP SJ Equity
1130,MEI SJ Equity
1131,SMK SJ Equity
1132,SPE SJ Equity
1133,SLL SJ Equity
1134,BTO SJ Equity
1135,GEM SJ Equity
1136,ACN SJ Equity
1137,ROC SJ Equity
1138,JSE SJ Equity
1139,ACL SJ Equity
1140,PCT SJ Equity
1141,ILU SJ Equity
